dariushafshar/12-oof-members-survive-a-fold-and-hash-audit,12 OOF Members Survive a Fold and Hash Audit,Dariush Afshar,2026-08-09 23:31:47.687000,0
vladstud716373618/baseline-5-fold-cv-catboost-deep-fe,Baseline | 5-Fold CV CatBoost + Deep FE,Vlad Studennykov,2026-08-09 22:45:47.460000,0
lonnieqin/s6e8-with-tensorflow-5-fold-pipeline,S6E8 with TensorFlow 5-Fold Pipeline,Lonnie,2026-08-09 20:09:36.897000,2
codingmaster24/addiction-prediction-gbm,Addiction prediction gbm,SIVA S,2026-08-09 18:18:27.280000,1
codingmaster24/predicting-smartphone-addiction-xgboost,Predicting Smartphone Addiction XGBoost,SIVA S,2026-08-09 17:47:28.527000,0
akshatx25/notebook872448728e,notebook872448728e,Akshat Maurya,2026-08-09 17:08:32.857000,1
aslamsayyad1/version-6,version_6,Aslam Sayyad ,2026-08-09 16:43:16.863000,1
echloeprice/phone-addiction-prediction,phone addiction prediction,E散人chloeprice,2026-08-09 16:40:34.990000,3
tsubasacat/s6e8-smartphone-addiction-gbdt-ensemble-pipeline,S6E8 | Smartphone Addiction GBDT Ensemble Pipeline,tsubasacat,2026-08-09 15:08:34.813000,3
nebukhadnezar234/predicting-smartphone-addiction,Predicting Smartphone Addiction,Muhammad Nebukhadnezar Manthoufani,2026-08-09 14:44:40.617000,0
qwerty1234123424/simple-baseline-catboost,Simple Baseline | Catboost,Qwerty,2026-08-09 13:32:06.413000,2
animeguylrn/submissions-playground-series-s6e8,Submissions Playground Series - S6E8,Paras Gaur,2026-08-09 13:02:51.810000,5
chakrabhuanavdeva/smartphone-prediction-ffaxgb-model,Smartphone-Prediction-FFAXGB-Model,Chakrabhuana V  Deva,2026-08-09 11:57:40.720000,0
chakrabhuanavdeva/smartphone-prediction-ffa-model,Smartphone-Prediction-FFA-Model,Chakrabhuana V  Deva,2026-08-09 11:08:59.240000,4
abidhasan0720/predicting-smartphone-addiction,predicting-smartphone-addiction,Abid Hasan,2026-08-09 10:46:40.417000,1
abeeralzebda/predicting-smartphone-addiction-catboost,Predicting Smartphone Addiction-CatBoost,ABeer AZ,2026-08-09 09:52:36.717000,1
aumpatel131/kaggle-s6e8,kaggle_s6e8,Aum Patel 131,2026-08-09 09:27:29.687000,0
z4y4zz/baselinexgb-playgrounds6e8,BaselineXGB - PlaygroundS6E8 ,Nayan Pal,2026-08-09 08:26:19.363000,4
mayankgariyamldev/addiction,addiction,Mayank Gariya ML,2026-08-09 08:16:35.357000,0
gauravduttaiiitb/ex51-s6e8-flaml-ap,Ex51 : S6E8 : FLAML : ap,Gaurav Dutta,2026-08-09 07:48:40.470000,1
gauravduttaiiitb/ex51-s6e8-flaml-log-loss,Ex51 : S6E8 : FLAML : log_loss,Gaurav Dutta,2026-08-09 07:47:11.677000,0
gauravduttaiiitb/ex51-s6e8-flaml-accuracy,Ex51 : S6E8 : FLAML : accuracy,Gaurav Dutta,2026-08-09 07:43:55.280000,1
gauravduttaiiitb/ex51-s6e8-flaml-roc-auc-weighted, Ex51 : S6E8 : FLAML : roc_auc_weighted,Gaurav Dutta,2026-08-09 07:42:48.223000,1
gauravduttaiiitb/ex151-s6e8-flaml-roc-auc,Ex151 : S6E8 : FLAML : roc_auc,Gaurav Dutta,2026-08-09 07:25:12.553000,1
aslamsayyad1/version-5,version_5,Aslam Sayyad ,2026-08-09 07:20:01.930000,0
wesleyhuan/s6e8-multi-model-compare,S6E8_multi_model_compare,wesley,2026-08-09 06:13:46.957000,1
beicicc/s6e8-aug-6-fixed-schedule-lookup-audit,S6E8 Aug 6 Fixed-Schedule Lookup Audit,Kun Zhang,2026-08-09 05:56:35.233000,4
dariushafshar/lb-0-97055-vs-0-97086-the-level-2-member-trap,LB 0.97055 vs 0.97086: the level-2 member trap,Dariush Afshar,2026-08-09 05:22:56.790000,6
mariusborel/predict-smartphone-addiction,Predict Smartphone Addiction,Marius,2026-08-08 23:02:49.143000,2
dariushafshar/the-other-third-of-gaming-hours-accounted-for,"The other third of gaming_hours, accounted for",Dariush Afshar,2026-08-08 21:33:35.570000,1
dariushafshar/what-the-public-leaderboard-cannot-tell-you,What the public leaderboard cannot tell you,Dariush Afshar,2026-08-08 21:33:27.377000,1
gauravduttaiiitb/ex51-s6e8-flaml-f1,Ex51 : S6E8 : FLAML : f1,Gaurav Dutta,2026-08-08 21:10:24.737000,1
gauravduttaiiitb/ex51-s6e8-flaml-roc-auc,Ex51 : S6E8 : FLAML : roc_auc,Gaurav Dutta,2026-08-08 21:02:38.790000,1
amanatar/tabm-advanced-feature-engineering-s6e8,TabM Advanced Feature Engineering S6E8,Aman Atar,2026-08-08 19:31:38.197000,1
docxian/ps-s6-e09-smartphone-addiction,📴PS S6/E09 - Smartphone Addiction,Chris X,2026-08-08 18:47:46.160000,1
