member,dir,sd_oof,sd_test,ratio,mean_oof,mean_test,min_oof,max_oof,min_test,max_test,ks
om_xgb2,ext_members10es,0.37787587385433224,0.37905685480535545,1.0031253145086432,0.7103005853296552,0.7101685200625498,5.461994442157447e-05,1.0,6.756143193342723e-05,1.0000000149011612,0.006026872762569413
lgbm_stump_lat_frac,oof,0.38561800464457624,0.3862083023266042,1.0015307835083376,0.6915772658100018,0.6916362735862362,8.44777027672769e-06,0.9999999977939973,2.517803629193416e-05,0.9999999982749086,0.006021183603945213
ad_glgbcs3,ext_members3,0.37759647396143203,0.378500567200707,1.0023943370810378,0.7061625974394555,0.7062421444236227,0.00024778597682198727,0.999999877615385,0.00042521972570983425,0.9999996928680368,0.005976709128345803
ad_lgbnote,ext_members3,0.36935992611879753,0.3702615403863681,1.0024410181067682,0.7103902595392001,0.7101695826198994,0.00013432731374940266,0.999999938272162,0.00022113509997640746,0.999999922731863,0.005793575272982854
imp_lgbm,oof,0.3708809108977571,0.37164671606283173,1.0020648276645485,0.7104957349144351,0.7103232009346706,0.00021613568242173642,0.9999997615814209,0.0003254225302953273,0.9999992251396179,0.0057356480077604965
view_bounds_cat,oof,0.35968108154331757,0.36090732027923245,1.003409238903123,0.7094339539638489,0.7094446552041063,8.262570372671383e-05,0.9999993264515534,0.00017460932699647107,0.9999992163744567,0.005550414310737772
ad_glgbnote2,ext_members3,0.37017641623306663,0.37095696559834024,1.002108587503268,0.7106833981817553,0.7104046909790701,0.0001822698507566359,0.9999998155209121,0.0003367975299955421,0.999999648132578,0.0055370227012672135
bei_realmlp_seed01_fixed4,ext_members2,0.3934815007076918,0.3942286610569939,1.001898844921447,0.6493610761686646,0.650318349605296,0.0032873284650418,0.9958655118675231,0.0040063167903449,0.995126471925354,0.005465458588523209
imp_xgb,oof,0.3708633490305781,0.3717135215348632,1.0022924144607641,0.711173741249691,0.7110017288871525,2.4499047867720947e-05,1.0,7.610617467435077e-05,1.0,0.005344654992335607
gnb_raw,ext_members9,0.02957680423544092,0.02979245034228778,1.0072910550149452,0.510199000005362,0.5104634075425495,9.357622968839333e-14,0.7254149285674811,8.194038702502375e-13,0.7289185773656282,0.005254221110531865
view_resid_lgbm,oof,0.3574387758671739,0.3579720865525298,1.0014920336610433,0.7100449190137885,0.7096145019797148,0.0003695000770761858,0.9999997255602062,0.0008274736320177552,0.9999985210375233,0.005244357315692616
logreg,oof,0.32085989534603787,0.32255314114477174,1.0052772123387617,0.7094139291945044,0.7090262330278705,0.005292249653717286,0.999993945616904,0.004431319058679606,0.9999937433704931,0.005240716654848709
ad_gcatlr02,ext_members3,0.3779448152905329,0.3789973806269448,1.0027849709635592,0.7061408519632177,0.7061974850137304,6.680690356528623e-05,0.9999996152666629,8.773848650898636e-05,0.9999994306412299,0.005211347799528032
xgb_ctfix_r400,ext_members7,0.37154476510842693,0.37279639513298096,1.003368719309472,0.708017391610691,0.7079069173710515,0.0013383509358391166,0.9999300241470337,0.0011768054449930788,0.9999238014221192,0.005207494260262013
imp_lgbm_tuned,oof,0.3717350137455938,0.3725837539069743,1.0022831859523498,0.71064770109908,0.7105396099398685,2.8227446476870946e-05,0.9999999947734881,6.633657306929981e-05,0.9999999882859021,0.005140791863253225
ravi_xgb1c,ext_members11,0.3672033977788738,0.3688264867078217,1.0044201359213056,0.7098052922618872,0.7097291808655264,0.0003215569886378944,0.9999988079071045,0.00037516967859119177,0.9999985694885254,0.005062448708450962
om_cat,ext_members10,0.3751584381112073,0.37634064205831125,1.0031512124665407,0.7093326986184607,0.7096700944447047,8.037700354179833e-06,0.9999891519546508,0.0002129184704244,0.9999848157167436,0.005036899529257677
digit_xgb,oof,0.37098711780817706,0.37183828421653015,1.0022943287448411,0.7116075016407006,0.7113134002479421,2.4870370907592587e-05,1.0,7.843077764846385e-05,1.0,0.005028002671764731
latwide_xgb,oof,0.38146907571389327,0.38218919945334456,1.0018877643963764,0.697996348422897,0.6979565501613835,5.644758130074479e-05,0.9999998807907104,9.075894286070252e-05,0.9999997615814209,0.005013429816238979
bolt_cat_nested_te,ext_members2,0.3799611279640546,0.3811321694682643,1.0030820034419954,0.6989788260013019,0.6988345731751573,3.925466808141209e-05,0.9999991059303284,6.574719736818224e-05,0.9999989867210388,0.004993865537978204
