stem,cv,lb,day,fam,std,corr,era,cv6,lb6
w20_ad187,0.970097889484853,0.97116,2026-08-17,ens4,0.0,0.0,0.0,40.7499631271957,971160.0
w20_ad187_h3,0.9701008149538332,0.97115,2026-08-17,h3,0.0,0.0,0.0,43.67543210737068,971150.0
w20_ad187_hybrid,0.9700773469651351,0.97113,2026-08-18,hybrid,0.0,0.0,0.0,20.207443409359094,971130.0
w20_ad187_logit,0.9700247998203568,0.97116,2026-08-19,logit,0.0,0.0,0.0,-32.339701368955254,971160.0
w20_ad187_rankraw,0.970091529975082,0.97114,2026-08-17,rankraw,0.0,0.0,0.0,34.39045335618118,971140.0
w20_ad187_rescale,0.9700778470728432,0.97115,2026-08-18,rescale,0.0,0.0,0.0,20.70755111738265,971150.0
w21_ad187corr,0.970106881371208,0.97117,2026-08-17,h3,0.0,1.0,0.0,49.74184948225435,971170.0
w21_ad187corr_ens4,0.970103933067418,0.97118,2026-08-17,ens4,0.0,1.0,0.0,46.793545692258576,971180.0
w22_ad187corr_rankraw,0.970100135496454,0.97117,2026-08-18,rankraw,0.0,1.0,0.0,42.99597472823269,971170.0
w23_ad187std,0.9701058972467212,0.97115,2026-08-18,ens4,1.0,0.0,0.0,48.75772499546294,971150.0
w23_ad187std_h3,0.970109275063136,0.97114,2026-08-18,h3,1.0,0.0,0.0,52.13554141025867,971140.0
w23_ad187std_h3_hybrid,0.9700977969987988,0.97112,2026-08-18,hybrid,1.0,0.0,0.0,40.65747707304723,971120.0
w23_ad187std_h3_rankraw,0.97009179122053,0.97114,2026-08-18,rankraw,1.0,0.0,0.0,34.651698804233355,971140.0
w23_ad187std_h3_rescale,0.97009370385913,0.97114,2026-08-18,rescale,1.0,0.0,0.0,36.56433740417686,971140.0
w23_ad187std_logit,0.9700298054694744,0.97114,2026-08-18,logit,1.0,0.0,0.0,-27.334052251415386,971140.0
w23_ad187stdcorr,0.9701150808744372,0.97116,2026-08-18,h3,1.0,1.0,0.0,57.94135271142142,971160.0
w27_ad188raw,0.9701113750689624,0.97116,2026-08-20,ens4,1.0,0.0,0.0,54.235547236602955,971160.0
w27_ad188raw_rescale,0.970098971367698,0.97115,2026-08-20,rescale,1.0,0.0,0.0,41.831845972173376,971150.0
w27_ad188std,0.9701093456480704,0.97116,2026-08-19,ens4,1.0,0.0,0.0,52.206126344600534,971160.0
w27_ad188std_h3,0.970111472035714,0.97115,2026-08-19,h3,1.0,0.0,0.0,54.332513988231135,971150.0
w27_ad190std,0.970110933814171,0.97117,2026-08-20,ens4,1.0,0.0,0.0,53.794292445230596,971170.0
w27_ad190std_logit,0.9700395047477924,0.97116,2026-08-20,logit,1.0,0.0,0.0,-17.634773933350445,971160.0
w27_ad190std_rescale,0.9700990014183078,0.97115,2026-08-20,rescale,1.0,0.0,0.0,41.86189658206274,971150.0
w27_ad190stdcorr,0.9701181344162544,0.97118,2026-08-20,h3,1.0,1.0,0.0,60.99489452859874,971180.0
