member,ks,ratio,res_oof,res_test,smoothing
orig_binm,0.0138114245274994,1.014235940599486,1.0,1.0,0.0
pub_rmlp,0.0130514069796516,1.003442350345538,0.6264006630323316,0.7088983537066912,0.08249769067435964
y94_pub_rmlp,0.0130514069796516,1.003442350345538,0.6264006630323316,0.7088983537066912,0.08249769067435964
bolt_ebm_exact,0.0126187344936125,1.0047125241415795,0.6750360516598227,0.7084359876072386,0.03339993594741586
bolt_gandalf_gflu,0.0116758816688763,1.0030631284873008,0.02913205538576361,0.278307267585099,0.2491752121993354
nn2,0.0113307089020234,0.9979726232600676,0.3372309143163781,0.959315158183205,0.6220842438668269
w15d_origrep_r,0.0110669658489179,1.0120876105998715,0.9999971071887805,0.999993250129935,-3.857058845535555e-06
qda_lat,0.0105960271570312,1.0315405302241052,0.9885083074306196,0.9985555278060897,0.010047220375470123
ern711_multilevel,0.0097233135425467,0.9999406978725812,0.6477611810769647,0.7346288583944759,0.08686767731751122
bolt_dcnv2_cross,0.0095000147340972,1.0036347330430593,0.028903523299424763,0.26353517694784373,0.23463165364841898
et_lat_frac,0.0093158502716578,1.0038683303218716,0.9675021587603725,0.9985859022213822,0.031083743461009727
fmpure,0.0092719377620936,1.0072977518248445,0.9983597760385554,0.9999291263643175,0.0015693503257621089
bolt_neural_5fold,0.0085403046173087,1.0035589243527852,0.6994571639746647,0.7548649688493496,0.055407804874684885
ad_glgb127,0.0083651748959164,1.0021577718314827,1.0,1.0,0.0
bolt_deepfm_exact,0.0082401016348673,0.9974556804488428,0.9943243043873822,0.996884934965002,0.0025606305776197935
ad_glgbd4,0.0079419006683254,1.0022005686707576,1.0,1.0,0.0
lexb_xgb_base,0.007828464411177,1.0010550721285527,0.5922799546985763,0.7184122955633104,0.12613234086473413
naji02,0.0077213990957181,1.0038706002656417,0.6800695431817163,0.7293167106533199,0.049247167471603626
fmnum,0.0077202605288356,1.0034731156201897,0.9983713472834334,0.9999021268840574,0.0015307796006240881
fmdeep,0.0076715764116055,1.001709607182423,0.9984827205153832,0.9999291263643175,0.0014464058489342957
fmwide,0.0074504291304022,1.004226364831002,0.9975411104634428,0.9998751274037975,0.002334016940354622
golem_c,0.0072924075821561,1.0104985807251403,1.0,1.0,0.0
linlat,0.0071151114595111,1.004418380908089,0.9900009980198707,0.9993790119540199,0.009378013934149165
ad_logregte,0.0071094170727736,1.0037880580536196,0.9999985535943903,1.0,1.4464056097285294e-06
ad_gnn_te,0.0071054536113286,0.9989978483655968,0.6702412170635362,0.8985798273383238,0.22833861027478752
rff_lat,0.0066227165469703,1.003345266690281,0.9921098573988709,0.9992811388380773,0.007171281439206423
