member,dir,oof_auc,n_distinct
ad_gcatlr02,data/ext_members3,0.9682747006756973,296302
lat_ctfix2000,data/ext_members7,0.968286118283607,296302
bolt_lookup_v2_s03,data/ext_members2,0.9682971043085356,22933
ad_glgbcs3,data/ext_members3,0.9683013371464966,296302
ad_gxgbd8,data/ext_members3,0.9683017762294439,240568
bolt_lookup_v2_s81,data/ext_members2,0.9683062636856836,22884
bolt_lookup_v2_s959,data/ext_members2,0.9683212409207641,22893
bolt_lookup_v2_s1037,data/ext_members2,0.9683270112873662,22922
ad_gxgbd4,data/ext_members3,0.9683365263395127,233457
bolt_lookup_v2_s42,data/ext_members2,0.9683408920456207,22924
bolt_lookup_v2_s20260901,data/ext_members2,0.968344090243421,22813
lexb_lgb02,data/ext_members14,0.9683696067936562,296302
ad_xgbte,data/ext_members3,0.9683719953350659,236605
ad_gcatnote,data/ext_members3,0.9684050722675743,296302
bolt_foldsafe_te_xgb_10f,data/ext_members2,0.9684255944287906,212702
y94_pub_rmlp,data/ext_members15,0.968436452502668,210048
ad_gxgbcs4,data/ext_members3,0.9684511291859809,236376
y94_tabm_deeper,data/ext_members15,0.9684598015321553,228541
y94_lookup,data/ext_members15,0.9685261253744222,215645
ad_catnative,data/ext_members3,0.9686011660755198,296302
om_xgb2,data/ext_members10es,0.9687331699655731,225424
ravi200_publicm13,data/ext_members16,0.9687564508559878,88056
y94_naji03,data/ext_members15,0.9688139407425194,219006
y94_naji05,data/ext_members15,0.968814588855316,219044
ravi200_publicm12,data/ext_members16,0.9692139987562111,191143
ravi200_l2stack1r,data/ext_members16,0.969295652885091,202149
hboyang_mix,data/ext_members16,0.970181553604739,296302
