k,gh,zmin,zmax,in_hull,l1,wmin,wmax,cond,sd_gap,added,ols
57,-4414.384571074246,1000.5395947928487,1076.0669325819983,False,1519.4358714670623,-124.68185634923188,325.71636518759436,862753368.2123232,516.8038518838088,w16h_h3av6,1037.6200129167655
58,-4420.0034275578255,1000.5395947928487,1076.0669325819983,False,1516.6682454004685,-124.65165151015476,325.66033391597324,877947699.7905567,516.7908493954556,blend160origm_h3,1036.9945819894433
59,-4464.957488916748,1000.5395947928487,1076.0669325819983,False,1624.1819505663836,-124.46285462965335,325.01395770891526,1750760813.7310245,516.7160462681416,blend158_h3,1036.3960478259426
60,-4465.065622059745,1000.5395947928487,1076.0669325819983,False,1624.275833356144,-124.46335488364004,325.0112673183924,1780495685.8321612,516.7160403650042,blend159av_w,1035.819806553264
61,-4465.115339036602,1000.5395947928487,1076.0669325819983,False,1624.1739208553663,-124.3510017114802,324.99543885293724,1810309601.7775178,516.7095108712863,w14a_repro159av_h3,1035.2784906364525
62,-4465.369728937406,1000.5395947928487,1076.0669325819983,False,1624.6056069089839,-124.358476383616,324.95625491270135,1841023530.4717216,516.7092068478439,blend159_h3,1034.758893865003
63,-4465.034948727833,1000.5395947928487,1076.0669325819983,False,1626.339440544976,-124.38955646365025,324.74229871014086,1872708775.6018934,516.7070182469023,blend156w,1034.2602241959223
64,-4466.799354789371,1000.5395947928487,1076.0669325819983,False,1641.585272577592,-124.34607960977817,324.7199091105146,1902522757.7157767,516.6895216207269,blend156w2,1033.7801283626416
65,-4471.5905202011,1000.5395947928487,1076.0669325819983,False,1665.5976739195912,-124.41825006222828,324.2949166145541,1955069696.412753,516.629782325597,blend160orig_h3,1033.3168783437852
66,-4522.193388190427,1000.5395947928487,1076.0669325819983,False,1739.085661791031,-124.15744551133389,324.0948878516068,2593780028.9933167,516.5649375411026,blend156_h3,1032.8708886034506
67,-4522.2128488832395,1000.5395947928487,1076.0669325819983,False,1739.0368741080274,-124.15619404433343,324.073576142113,2633152912.358075,516.5645793251336,w16l_maskw_h3,1032.4438572242648
68,-4521.962260347364,1000.5395947928487,1076.0669325819983,False,1742.4539254442786,-124.11599917411368,324.8852572000263,2674275835.789114,516.5541728514647,blend159av,1032.1891429572952
69,-4523.796334146075,1000.5395947928487,1076.0669325819983,False,1740.9426173565887,-124.10279893422444,324.82738364868186,2713670265.5928326,516.5419126860634,blend160origm,1031.9509750533268
70,-4523.730987046722,1000.5395947928487,1076.0669325819983,False,1741.2606032066317,-124.10665952450766,324.8121201802181,2753161966.217891,516.5413853674164,w14a_repro159av,1031.7285835621826
71,-4524.889790406879,1000.5395947928487,1076.0669325819983,False,1740.9189938514562,-124.10992345036321,324.8104136580762,2792942103.0573444,516.53995257311,blend159,1031.5158158743368
72,-4531.84500850707,1000.5395947928487,1076.0669325819983,False,1740.1801479981887,-124.10917584528653,324.7219677920267,2832636377.582979,516.5302028251959,blend158,1031.3110592730288
73,-4535.054431587198,1000.5395947928487,1076.0669325819983,False,1744.2434166858766,-124.07141191150674,324.70828310996114,2872161525.9302187,516.5187317935469,blend160orig,1031.1245021029708
74,-4534.700076364548,1000.5395947928487,1076.0669325819983,False,1745.0613040488358,-124.0791324288909,324.67212662476106,2911622668.932766,516.5180719517726,blend156,1030.9524861623486
75,-6701.5749130405,1000.5395947928487,1120.0638113099126,False,2046.0934759438721,-122.37262755569077,267.57437651364853,2951015660.2010255,509.8375330123746,w29_ad194std_logit,1032.140637164316
76,-6183.118610890741,1000.5395947928487,1120.4952522074764,False,2090.5313197224586,-104.8598600164043,259.0532282700134,2990412699.0717688,508.9103068457206,w27_ad190std_logit,1033.3031978885683
77,-6229.322993862829,1000.5395947928487,1121.2670637066324,False,2068.77456632645,-102.73792811607113,254.55102661595345,3029845667.331434,508.2748711347471,w27_ad188raw_logit,1034.4455857563353
78,-6232.018079422315,1000.5395947928487,1121.2670637066324,False,2067.3484095385234,-102.73201706869757,254.36669052831104,3069302408.6646047,508.2620496640798,blend158_rankraw,1034.0498741147678
79,-6239.8364279991565,1000.5395947928487,1121.2670637066324,False,2067.8602022618497,-102.5737064388463,254.04046453143312,3108889884.955684,508.25192279126156,blend156_rankraw,1033.6685033662473
80,-6238.6893279856595,1000.5395947928487,1121.2670637066324,False,2068.1009563263574,-102.56187063134797,254.06459180015796,3148314928.69256,508.25077307028755,blend153,1033.3185399067995
81,-6250.277707969246,986.1393473854507,1121.2670637066324,False,2068.723132731034,-102.55338665629954,253.94992039339076,3187804247.784571,508.2483243823572,blend159av_rankraw,1032.7360807398693
82,-6250.2214459273255,986.1393473854507,1121.2670637066324,False,2068.8523640824515,-102.54904437030771,253.95259478304462,3227238774.4477425,508.24827568969994,blend150sx,1032.4216395885803
83,-6250.229617121248,986.1393473854507,1121.2670637066324,False,2068.868554086837,-102.54919536699742,253.95288637153126,3266760140.25302,508.2482762537864,blend150fx,1032.1280853060425
84,-6043.659109940983,986.1393473854507,1121.2670637066324,False,1744.7802231039907,-85.80907246847806,215.98220166639143,3306265674.8131456,504.4759862092589,w23_ad187std_logit,1033.057447749134
85,-5978.335569356772,986.1393473854507,1121.2670637066324,False,1739.1143006091434,-86.53760171344373,215.2492050169954,3345868017.432739,504.3383169807378,blend159av_hybrid,1032.5606242528188
86,-4081.9858685643935,986.1393473854507,1121.2670637066324,False,1841.2043422860752,-87.23895148116505,243.20439622296976,3387815294.994932,498.1753732220915,blend159av_rescale,1032.4300328735465
87,-4127.362536489396,986.1393473854507,1121.2670637066324,False,1846.0590800542361,-87.2523455044631,240.41565298682113,3427407918.982208,498.11822580826583,blend158_hybrid,1032.076431064592
88,-5049.5477345676945,986.1393473854507,1121.2670637066324,False,1942.9741347657714,-62.29686885802982,165.5543493938221,3473894205.693632,497.0154614273323,blend158_rescale,1031.969051062566
89,-5048.625458134346,986.1393473854507,1121.2670637066324,False,1943.2724811860905,-62.308116253177985,165.49232900650827,3513443805.7321033,497.0143379761275,w14a_repro159av_rescale,1031.8663194539834
90,-5049.070350982093,986.1393473854507,1121.2670637066324,False,1943.015106454689,-62.30530329043672,165.4977106800996,3553106506.2883606,497.0141904744088,blend160origm_rescale,1031.7677066887493
91,-5045.92181267909,986.1393473854507,1121.2670637066324,False,1948.8736128994904,-62.27525646510207,165.79513201689394,3592660577.324525,497.0090167979479,blend159_rescale,1031.6835323683165
92,-5045.959099679453,986.1393473854507,1121.2670637066324,False,1950.3832971024403,-62.24227227070506,165.54107528299093,3632216053.396381,497.00553862259744,blend156_rescale,1031.6096373004746
93,-5145.3725193179325,986.1393473854507,1135.2001796430811,False,1838.506483505649,-68.81565906000932,158.33217977890226,3671791459.146361,496.41022179357304,w20_ad187_logit,1032.7235140998575
94,-5139.3275065373455,986.1393473854507,1135.2001796430811,False,1837.8072068175609,-68.81502106746258,158.3508036078928,3711371248.792029,496.40712880108373,stack_pub151_fixed_rankraw,1032.433881795583
95,-5144.836972238382,965.705448018106,1135.2001796430811,False,1838.6890476901717,-68.79347560592151,158.6647129514855,3750935793.281724,496.40297536509803,stack_pub151_hybrid,1031.7314772295042
