member,solo,fold_sd,fold_min,fold_max,maxcorr,nearest
pub_ryota,0.9637024753598541,0.0005767025366128002,0.9628249236331619,0.9646033665486913,0.9967456189711409,golem_f
naji01,0.9636739843066905,0.0005010960783984588,0.9630192982128508,0.9644236690131202,0.9920220678003652,ravi_lgbm1c
xgb_identity_digit_raw12,0.9634036395167119,0.000496527556175686,0.962741072986829,0.9642362543424282,1.0,bei_xgb_identity_digit_raw12
identity_digit_raw12,0.9633938167071467,0.0005187752945718824,0.962646274593806,0.9641959537761012,1.0,bei_identity_digit_raw12
pub_donlgbm,0.9631510411290576,0.00047005583158341225,0.9625744005271095,0.9638433991120278,0.9903687522970657,ravi_lgbm1c
view_bounds_cat,0.963077977359236,0.0004935067873931624,0.9624832633078042,0.9639823820108973,0.9905494733080699,bolt_cat_cpu5
view_rank_lgbm,0.9629697204079178,0.0005578896476931085,0.9621926171122795,0.9638468711377892,0.9903717154281052,dkv_lgb
d,0.9626012749354521,0.0008245561208109494,0.9614533330236432,0.963853973890917,1.0,golem_d
raw12,0.9625110899702517,0.000581274962857226,0.9616928925255315,0.9633650439310844,1.0,bei_raw12
cat,0.9622800285785826,0.0005367384189395778,0.9614889281064108,0.9631591126776841,0.9937640146160657,bolt_cat_cpu5
cat_tuned,0.9616312660045359,0.0005350879391661004,0.9609559251504927,0.9626002407258508,0.9912225569429041,golem_d
view_rank_cat,0.9614284530690101,0.00045309183531982603,0.9608432924267452,0.962182421136742,0.9876832367511528,golem_d
pubfe_cat,0.9602697299520665,0.0006114741515773474,0.9594555339167841,0.961334960528418,0.9890506771310845,bolt_cat_unique
view_resid_lgbm,0.9554591025534495,0.0006216635759277218,0.9546635498635576,0.9565160563190056,0.9818490185106452,golem_f
view_resid_xgb,0.9551941525735667,0.0006290614359150704,0.9542506554791752,0.9561896375638584,0.9802400925536532,golem_f
view_resid_cat,0.9545823997408853,0.0005785257948914876,0.9538792848432746,0.955611395516608,0.9757571382520772,lat_encdrop_r400
rf,0.9432983978218613,0.0007561074706211848,0.9421741471124881,0.9444170406141421,0.981267559671758,lat_encdrop_r400
nn2,0.9423595381240274,0.0008263927622443755,0.9411093623530495,0.9434086653316678,0.9882271953694404,golem_b
et,0.9411226311755987,0.0007325598178906695,0.9400865811258421,0.9421346136673484,0.9875859349935705,golem_b
pubmk_nn,0.9408544002547136,0.0006637094268869355,0.9398415809878755,0.941701578514287,0.9943581219036357,golem_b
realmlp15,0.9408539465219671,0.0005977606392683833,0.9398606025994326,0.9416301712916406,0.9755871627119964,golem_b
mlp,0.9400399423936692,0.0006881280775383626,0.9389495621447456,0.9407763183450476,0.9943866150662902,golem_b
realmlp,0.9380308880562405,0.000665178580781187,0.937053115261699,0.9389872943076394,0.9722441636075734,golem_b
knn,0.9321948788553983,0.0006161727764199542,0.9314445277232491,0.9330429862732081,0.9772716481475041,golem_b
logreg,0.9187996548541425,0.000716969578349978,0.9179779521251705,0.9197408346718214,0.946158824932899,ad_gnn_note
