stem,true_cv,n_src,reg_spread,reg_cv,have_oof,cv_w25a,cv_w46c,cv_w23b,cv_w45b,err6
w27_ad188raw_rescale,0.9700989713676981,2,0.0,0.970098971367698,True,0.970098971367698,0.970098971367698,,,-1.1102230246251565e-10
w27_ad188std,0.9701093456480703,2,0.0,0.9701093456480704,True,0.9701093456480704,0.9701093456480704,,,1.1102230246251565e-10
w27_ad188std_h3,0.970111472035714,2,0.0,0.970111472035714,True,0.970111472035714,0.970111472035714,,,0.0
w27_ad188std_hybrid,0.9700993120985821,2,1.1102230246251565e-10,0.970099312098582,True,,,0.970099312098582,0.9700993120985821,-1.1102230246251565e-10
w27_ad188std_logit,0.9700372515102429,2,1.1102230246251565e-10,0.9700372515102428,True,,,0.9700372515102428,0.9700372515102429,-1.1102230246251565e-10
w27_ad188std_rankraw,0.9700930486776909,2,0.0,0.970093048677691,True,,,0.970093048677691,0.970093048677691,1.1102230246251565e-10
w27_ad188std_rescale,0.970096268573635,2,1.1102230246251565e-10,0.9700962685736352,True,,,0.9700962685736352,0.9700962685736351,2.220446049250313e-10
w27_ad188stdcorr,0.9701168076021643,2,0.0,0.9701168076021642,True,,,0.9701168076021642,0.9701168076021642,-1.1102230246251565e-10
w27_ad190std,0.970110933814171,2,0.0,0.970110933814171,True,0.970110933814171,0.970110933814171,,,0.0
w27_ad190std_h3,0.9701133391214054,2,1.1102230246251565e-10,0.9701133391214056,True,,,0.9701133391214056,0.9701133391214055,2.220446049250313e-10
w27_ad190std_hybrid,0.9701027988573375,2,1.1102230246251565e-10,0.9701027988573376,True,,,0.9701027988573376,0.9701027988573375,1.1102230246251565e-10
w27_ad190std_logit,0.9700395047477925,2,0.0,0.9700395047477924,True,0.9700395047477924,0.9700395047477924,,,-1.1102230246251565e-10
w27_ad190std_rankraw,0.9700951828849882,2,1.1102230246251565e-10,0.9700951828849884,True,,,0.9700951828849884,0.9700951828849883,2.220446049250313e-10
w27_ad190std_rescale,0.970099001418308,2,1.1102230246251565e-10,0.970099001418308,True,0.970099001418308,0.9700990014183078,,,0.0
w27_ad190stdcorr,0.9701181344162544,2,0.0,0.9701181344162544,True,0.9701181344162544,0.9701181344162544,,,0.0
w29_ad194std,0.9701116199443892,2,0.0,0.9701116199443892,True,0.9701116199443892,0.9701116199443892,,,0.0
w29_ad194std_h3,0.9701140063799218,2,0.0,0.9701140063799218,True,,,0.9701140063799218,0.9701140063799218,0.0
w29_ad194std_hybrid,0.9701056245229753,2,1.1102230246251565e-10,0.9701056245229752,True,,,0.9701056245229752,0.9701056245229753,-1.1102230246251565e-10
w29_ad194std_logit,0.9700399361886902,2,2.220446049250313e-10,0.9700399361886902,True,0.9700399361886902,0.97003993618869,,,0.0
w29_ad194std_rankraw,0.9700930067276081,2,0.0,0.970093006727608,True,,,0.970093006727608,0.970093006727608,-1.1102230246251565e-10
w29_ad194std_rescale,0.9700978808735926,2,2.220446049250313e-10,0.9700978808735926,True,0.9700978808735926,0.9700978808735924,,,0.0
w29_ad194stdcorr,0.9701182875261917,2,0.0,0.9701182875261916,True,0.9701182875261916,0.9701182875261916,,,-1.1102230246251565e-10
w29_ad194stdcorr_ens4,0.9701159502920627,2,1.1102230246251565e-10,0.9701159502920628,True,,,0.9701159502920628,0.9701159502920627,1.1102230246251565e-10
w29_ad194stdcorr_rankraw,0.9701005595540964,2,0.0,0.9701005595540964,True,,,0.9701005595540964,0.9701005595540964,0.0
w29_ad194stdcorr_rescale,0.9701012579592934,2,0.0,0.9701012579592934,True,,,0.9701012579592934,0.9701012579592934,0.0
w34_ad195std,0.9701181648626676,2,0.0,0.9701181648626676,True,,,0.9701181648626676,0.9701181648626676,0.0
w34_ad195std_h3,0.9701205752646017,2,0.0,0.9701205752646018,True,,,0.9701205752646018,0.9701205752646018,1.1102230246251565e-10
w34_ad195std_hybrid,0.9701108333105612,2,1.1102230246251565e-10,0.9701108333105612,True,,,0.9701108333105612,0.9701108333105611,0.0
w34_ad195std_logit,0.9700443435657891,2,0.0,0.970044343565789,True,,,0.970044343565789,0.970044343565789,-1.1102230246251565e-10
w34_ad195std_rankraw,0.9700978115521841,2,1.1102230246251565e-10,0.970097811552184,True,,,0.970097811552184,0.9700978115521841,-1.1102230246251565e-10
w34_ad195std_rescale,0.9701055638940178,2,1.1102230246251565e-10,0.970105563894018,True,,,0.970105563894018,0.9701055638940179,2.220446049250313e-10
w34_ad195std_w,0.9701195043323168,2,0.0,0.9701195043323166,True,,,0.9701195043323166,0.9701195043323166,-1.1102230246251565e-10
w34_ad195std_wh3,0.9701196117472624,2,0.0,0.9701196117472624,True,,,0.9701196117472624,0.9701196117472624,0.0
