a,b,kind_a,kind_b,auc_a,auc_b,deficit,rho,sd_gap,mean_gap,law_rho,law_if,law_if_fpc,r_rho,r_if,r_if_fpc
OURS:blend158_logit,OURS:blend160origm_logit,ours,ours,0.9699613898723587,0.9699635759958649,2.186123506220383e-06,0.9999540106562628,4.611299017492105e-06,-1.9973046850718655e-06,5.303165223467404e-06,4.714121139472407e-06,4.50756267611139e-06,0.8695371204137345,0.9781884854168577,1.0230138433638392
OURS:blend158_logit,OURS:stack_pub149_hybrid,ours,ours,0.9699613898723587,0.9700183101166489,5.6920244290159516e-05,0.9955610952719244,3.4380724187763006e-05,-5.6947386541384345e-05,5.2065774092086306e-05,3.5585341953971655e-05,3.40261004040162e-05,0.6603325272175042,0.9661484841773678,1.0104221106602316
OURS:blend158_logit,OURS:blend159_hybrid,ours,ours,0.9699613898723587,0.9700244514017536,6.306152939494769e-05,0.9955128527601408,3.2226116137994234e-05,-6.449149284081119e-05,5.235176343376581e-05,3.241207044085983e-05,3.099187200587385e-05,0.6155688753209992,0.9942628070241641,1.0398247686324484
OURS:blend158_logit,OURS:w14a_repro159av_rescale,ours,ours,0.9699613898723587,0.9700271740621013,6.578418974256817e-05,0.9914167236060113,2.6285992212891615e-05,-6.694455771283723e-05,7.247828130869253e-05,2.833551664527393e-05,2.709394041003884e-05,0.36267405543098963,0.9276694172179791,0.9701797455475372
OURS:blend158_logit,OURS:blend159_rankraw,ours,ours,0.9699613898723587,0.9700325394457389,7.114957338016925e-05,0.995116332318922,3.52522505342147e-05,-7.27655307302271e-05,5.461985392721101e-05,3.764032975482254e-05,3.599104488399967e-05,0.6454109266054338,0.9365553055416079,0.9794728285281483
OURS:blend158_logit,OURS:blend156,ours,ours,0.9699613898723587,0.9700416046775031,8.021480514441848e-05,0.9970609157073577,2.1424325286209535e-05,-8.09098526407827e-05,4.237571260270055e-05,2.2602262692304366e-05,2.161190022344194e-05,0.5055802951817309,0.9478840936356387,0.9913207568379875
OURS:blend158_logit,OURS:blend160orig_h3,ours,ours,0.9699613898723587,0.970046331122863,8.494125050428902e-05,0.9947961547102102,2.8067903104481386e-05,-8.618706909524487e-05,5.6386122150184544e-05,3.00823133747944e-05,2.8764197814926218e-05,0.49778034087399153,0.9330367234322855,0.9757930078591133
OURS:blend158_logit,OURS:w16h_h3av6,ours,ours,0.9699613898723587,0.9700487290113214,8.733913896274981e-05,0.994755076193748,2.7979436667249388e-05,-8.86729680186923e-05,5.6606617532646946e-05,2.9713726909358988e-05,2.841176168836914e-05,0.49427854704642443,0.9416333653667879,0.9847835897730787
OURS:blend158_logit,OURS:w16n_finegrid,ours,ours,0.9699613898723587,0.9700556964750705,9.430660271181335e-05,0.9946186144843306,2.9548353207900867e-05,-9.574365815282244e-05,5.734729370401356e-05,3.09635672079944e-05,2.9606837783053337e-05,0.5152527922312901,0.9542942197006247,0.9980246260819537
OURS:blend158_logit,SYN:iv16s0a,ours,synth,0.9699613898723587,0.9691870409336699,0.0007743489386887736,0.9916191634237274,8.796876223187786e-05,0.000777433163090945,7.20390867408223e-05,9.358300350799109e-05,8.948248066833349e-05,1.2211254502485067,0.9400078960317423,0.9830836335207758
OURS:blend158_logit,SYN:iv16s0b,ours,synth,0.9699613898723587,0.9692906053011139,0.0006707845712448091,0.993894349593038,8.670809728021096e-05,0.0006751793338569446,6.160106879430175e-05,8.781871335549702e-05,8.397076419416442e-05,1.407574559619194,0.9873533096438091,1.0325986444486446
OURS:blend158_logit,SYN:rd16s0a,ours,synth,0.9699613898723587,0.9692899839659375,0.0006714059064212297,0.9927390628056554,8.59022471370016e-05,0.0006752987594696258,6.710566191032073e-05,8.792948890194407e-05,8.407668589278383e-05,1.2801043114931259,0.9769446884059205,1.0217130495194084
OURS:blend158_logit,SYN:rd16s0b,ours,synth,0.9699613898723587,0.9692475740203867,0.000713815851971944,0.9932985965563552,8.609596109908077e-05,0.000717434688318902,6.444214371888794e-05,9.021405512837075e-05,8.626114936936264e-05,1.3360195072754248,0.9543519685105595,0.9980850212234647
OURS:blend158_logit,SYN:iv24s0a,ours,synth,0.9699613898723587,0.9691399966837544,0.0008213931886043024,0.9916069181260753,9.239524298520855e-05,0.0008272149057482188,7.216792410595578e-05,9.66178985333137e-05,9.23843958158919e-05,1.2802812901969487,0.9562953074719465,1.0001174134356874
OURS:blend158_logit,SYN:iv24s0b,ours,synth,0.9699613898723587,0.9691464441379899,0.0008149457343687994,0.9924649542250069,9.462580559728987e-05,0.0008221023432153727,6.853373363334601e-05,9.576213804798705e-05,9.156613215460187e-05,1.3807186706554742,0.9881338024206628,1.033414903203752
OURS:blend158_logit,SYN:rd24s0a,ours,synth,0.9699613898723587,0.9692243444524757,0.0007370454198829535,0.9917711703252527,8.941227073635857e-05,0.0007424656520934956,7.142297238137978e-05,9.126922253574684e-05,8.727008254732292e-05,1.251869920211675,0.9796541293132965,1.0245466501979534
OURS:blend158_logit,SYN:rd24s0b,ours,synth,0.9699613898723587,0.9690397111971055,0.000921678675253168,0.9923210702279395,9.905821450075815e-05,0.0009292578608401871,6.923617592507159e-05,0.00010215058891839584,9.767466052068642e-05,1.4307291409040328,0.9697272972150159,1.0141649223319156
