a,b,fam,dcv,dlb,resid,sd0,var0,m,foreign
blend159av,w38_ad202stdcorr,ens4,-92.71237777486175,-109.99999999994348,-17.287622225081734,32.4862599455062,1055.3570852470002,-11,False
blend159av,w38_ad202stdcorr_ens4,ens4,-90.02337593699839,-129.99999999996348,-39.97662406296509,32.066366449390344,1028.2518572665867,-13,False
blend159av,w40_ad211std,ens4,-86.07738885757499,-109.99999999994348,-23.922611142368496,31.252522458279508,976.7201600052649,-11,False
blend159av,w40_ad211stdcorr,ens4,-92.59654947046947,-120.000000000009,-27.403450529539526,32.74111850857204,1071.9808411923586,-12,False
blend159av_h3,blend160orig_h3,h3,2.84099540670546,0.0,-2.84099540670546,5.382029181844534,28.966238114226144,0,False
blend159av_h3,blend160origm_h3,h3,0.5171374017898245,0.0,-0.5171374017898245,4.922357572799709,24.22960407449864,0,False
blend159av_h3,blendtop3,h3,-0.2882869374332131,0.0,0.2882869374332131,2.5106308886484787,6.303267459035851,0,False
blend159av_h3,w14a_repro159av_h3,h3,1.971653897481218,0.0,-1.971653897481218,4.638438371911112,21.51511053001741,0,False
blend159av_h3,w16e_aonly,h3,-5.258344197733855,-30.000000000085514,-24.74165580235166,8.67461835577644,75.24900361837354,-3,False
blend159av_h3,w16h_h3av6,h3,0.4431069482446759,0.0,-0.4431069482446759,3.2454178382976577,10.532736945140641,0,False
blend159av_h3,w16i_schemeavg,h3,-6.494138735768651,-20.000000000020002,-13.505861264251351,7.609955596742512,57.91142418439267,-2,False
blend159av_h3,w16l_maskw_h3,h3,3.4319044677211252,0.0,-3.4319044677211252,6.847263570651431,46.885018405970186,0,False
