a,b,dcv,dlb,sd,p_reverse
blend150fx_rescale,blend159av,-3.2339834994732364e-05,-4.0000000000040004e-05,1.9303793728467776e-05,0.044
blend150fx_rescale,blend159av_h3,-3.663524033470367e-05,-2.999999999997449e-05,1.9526151065069405e-05,0.028
blend150fx_rescale,blend159av_w,-3.564155059976315e-05,-2.999999999997449e-05,2.0564070628008943e-05,0.036
blend150fx_rescale,blend159av_wh3,-3.6720043744220554e-05,-2.999999999997449e-05,2.052312537683061e-05,0.034
blend150fx_rescale,blend160orig,-2.977073620624715e-05,-4.0000000000040004e-05,1.9525292716128856e-05,0.056
blend150fx_rescale,blend160orig_h3,-3.379424492799821e-05,-2.999999999997449e-05,1.9715680547604185e-05,0.042
blend150fx_rescale,blend160origm,-3.170756448156453e-05,-4.0000000000040004e-05,1.9479148136603686e-05,0.05
blend150fx_rescale,blend160origm_h3,-3.611810293291384e-05,-2.999999999997449e-05,1.960735841831951e-05,0.036
blend150fx_rescale,blendtop3,-3.692352727213688e-05,-2.999999999997449e-05,1.9300815840403306e-05,0.032
blend150fx_rescale,stack_pub149_hybrid,-5.7732387138687e-06,2.999999999997449e-05,2.2608266160545505e-05,0.4
blend150fx_rescale,stack_pub151_fixed_rankraw,-1.196504456690839e-05,-9.99999999995449e-06,2.715345393816194e-05,0.326
blend150fx_rescale,stack_pub151_hybrid,-1.175767404693051e-05,2.999999999997449e-05,2.1511279417079143e-05,0.284
blend150fx_rescale,stack_pub151_rankraw,-1.0528958300004554e-05,0.0,2.595383722469069e-05,0.342
blend150fx_rescale,stack_pub86_hybrid,0.00033473650286652834,0.00021999999999999797,6.228855644884238e-05,0.0
blend150fx_rescale,stack_pub88_mine_logit,0.0003525903607315417,0.00021000000000004349,6.227362728799526e-05,0.0
blend150fx_rescale,w16e_aonly,-4.189358453243752e-05,-6.0000000000060005e-05,2.0192981197002377e-05,0.018
blend150fx_rescale,w16h_h3av6,-3.619213338645899e-05,-2.999999999997449e-05,1.919390337233689e-05,0.032
blend150fx_rescale,w16i_schemeavg,-4.312937907047232e-05,-4.999999999999449e-05,1.989639723175843e-05,0.018
blend150fx_rescale,w16l_maskw_h3,-3.320333586698254e-05,-2.999999999997449e-05,2.068329445824643e-05,0.054
blend150fx_rescale,w16n_finegrid,-4.315959713552253e-05,-4.999999999999449e-05,1.9864305764033547e-05,0.018
blend150fx_rescale,w16q_ens4avg,-3.8980243373565315e-05,-6.0000000000060005e-05,1.9696038731458862e-05,0.024
blend150fx_rescale,w16t_cellens4,-3.8835785291957414e-05,-6.0000000000060005e-05,2.01173950497861e-05,0.022
blend150sx,blend150sx_hybrid,1.695657669731343e-05,2.999999999997449e-05,1.4431947334128421e-05,0.126
blend150sx,blend150sx_logit,7.766489774496677e-05,0.0,2.2518993369066133e-05,0.0
blend150sx,blend150sx_rankraw,1.1191238827756855e-05,2.0000000000020002e-05,1.825132069217611e-05,0.252
blend150sx,blend153,-1.2804797236976029e-06,0.0,5.392363976398085e-06,0.356
blend150sx,blend156,-8.556583837249221e-06,-2.0000000000020002e-05,1.0551611494045525e-05,0.196
blend150sx,blend156_h3,-1.3070350852406598e-05,-9.99999999995449e-06,1.2223635635239343e-05,0.14
blend150sx,blend156_rankraw,-3.0303213525151307e-06,0.0,2.026236822638971e-05,0.438
blend150sx,blend156_rescale,7.93327979276004e-06,-9.99999999995449e-06,1.6765224686484512e-05,0.346
blend150sx,blend156w,-1.3609201621189726e-05,-9.99999999995449e-06,1.2594564623166779e-05,0.146
blend150sx,blend156w2,-1.3417815468153016e-05,-9.99999999995449e-06,1.2574757839356412e-05,0.146
blend150sx,blend158,-1.0178565754026536e-05,-2.0000000000020002e-05,1.0965732842264707e-05,0.158
blend150sx,blend158_h3,-1.527083999119938e-05,-9.99999999995449e-06,1.2579396909780593e-05,0.098
blend150sx,blend158_hybrid,4.714769160418797e-06,1.0000000000065512e-05,1.7756553522578193e-05,0.414
blend150sx,blend158_logit,7.165822130716926e-05,-2.0000000000020002e-05,2.5616351153290324e-05,0.006
blend150sx,blend158_rankraw,-3.3718286200912218e-06,0.0,2.0464289126173418e-05,0.444
blend150sx,blend158_rescale,5.675084552181353e-06,-9.99999999995449e-06,1.693903709939036e-05,0.392
blend150sx,blend159,-1.0329828609045855e-05,-2.0000000000020002e-05,1.119573126376201e-05,0.154
blend150sx,blend159_h3,-1.3888415527518738e-05,-9.99999999995449e-06,1.3057199674288203e-05,0.124
blend150sx,blend159av,-1.1828619263853923e-05,-2.0000000000020002e-05,1.1457878861412962e-05,0.12
blend150sx,blend159av_h3,-1.6124024603825227e-05,-9.99999999995449e-06,1.3266938536398617e-05,0.098
blend150sx,blend159av_w,-1.513033486888471e-05,-9.99999999995449e-06,1.3213170386370817e-05,0.106
blend150sx,blend159av_wh3,-1.6208828013342114e-05,-9.99999999995449e-06,1.3814775286835802e-05,0.102
blend150sx,blend160orig,-9.25952047536871e-06,-2.0000000000020002e-05,1.1526472350224634e-05,0.198
blend150sx,blend160orig_h3,-1.3283029197119767e-05,-9.99999999995449e-06,1.3302024481618942e-05,0.132
