stem,cv,lb,n_sent,gap,fam,std,in_w25f,pred,res6
w20_ad187_logit,0.970024799820357,0.97116,1,0.00113520017964297,logit,False,False,0.9711574180206252,2.581979374860488
stack_pub151_fixed_rankraw,0.9700245019225018,0.97103,1,0.001005498077498168,rankraw,False,True,0.9710204594600259,9.54053997404003
stack_pub151_hybrid,0.9700242945519818,0.97099,1,0.000965705448018217,hybrid,False,True,0.9710114048215902,-21.404821590187417
blend150fx_rankraw,0.9700240718313954,0.97102,1,0.0009959281686046095,rankraw,False,True,0.9710196246294747,0.3753705253295436
blend160orig_rescale,0.9700233486631156,0.97105,1,0.0010266513368843988,rescale,False,False,0.9710409066253016,9.093374698343482
stack_pub151_rankraw,0.970023065836235,0.97102,1,0.0009969341637650064,rankraw,False,True,0.9710176719374013,2.328062598699887
blend150sx_rankraw,0.9700218568548381,0.97102,1,0.0009981431451618894,rankraw,False,True,0.971015325237851,4.674762149048384
stack_pub149_hybrid,0.9700183101166489,0.97099,1,0.0009716898833511678,hybrid,False,True,0.9709997887026482,-9.788702648227954
blend150sx_hybrid,0.9700160915169685,0.97101,1,0.0009939084830314915,hybrid,False,True,0.9709954822783429,14.517721657170135
blend150fx_hybrid,0.9700142363358246,0.97099,1,0.0009757636641753997,hybrid,False,True,0.9709918812694543,-1.881269454329093
blend150fx_rescale,0.9700125368779351,0.97102,1,0.0010074631220649,rescale,False,True,0.9710199203541424,0.07964585757580522
w14a_repro159av_logit,0.969964869765448,0.97106,1,0.0010951302345519887,logit,False,False,0.9710410904797134,18.909520286602977
blend159av_logit,0.9699647645223465,0.97106,1,0.0010952354776535556,logit,False,False,0.9710408861970506,19.113802949388692
blend159_logit,0.9699646622223983,0.97106,1,0.0010953377776017348,logit,False,False,0.9710406876272107,19.312372789292986
blend158_logit,0.9699613898723587,0.97106,1,0.0010986101276413418,logit,False,False,0.9710343358153579,25.66418464211573
blend150sx_logit,0.9699553831959209,0.97104,1,0.0010846168040791193,logit,False,False,0.9710226765252051,17.32347479488361
blend150fx_logit,0.9699498370519285,0.97103,1,0.0010801629480714503,logit,False,False,0.9710119111539209,18.088846079011844
stack_pub86_hybrid,0.9696778003750686,0.9708,1,0.0011221996249314303,hybrid,False,False,0.9703388405197263,461.1594802736985
stack_pub88_mine_logit,0.9696599465172034,0.97081,1,0.0011500534827965092,logit,False,False,0.9704492176424709,360.7823575290103
stack_pub74_logit,0.9696413515631959,0.97081,1,0.0011686484368040873,logit,False,False,0.9704131238114815,396.87618851846906
