a,b,dcv,dlb,sd,p_reverse,ga,gb,same,r,sd_pred,z
blend150fx_hybrid,blend158,-2.899032359537923e-05,-7.00000000000145e-05,1.97965101398246e-05,0.048,hybrid,ens4,False,-4.1009676404635265e-05,2.0213076964748462e-05,-2.028868562473492
blend150fx_hybrid,blend158_h3,-3.4082597832552075e-05,-5.999999999994898e-05,1.746495603155606e-05,0.02,hybrid,h3,False,-2.5917402167396908e-05,1.793575635011953e-05,-1.4450130600276685
blend150fx_hybrid,blend158_hybrid,-1.4096988680933896e-05,-3.999999999992898e-05,1.3092134918575384e-05,0.114,hybrid,hybrid,True,-2.5903011318995084e-05,1.3713885787509226e-05,-1.8888163224013328
blend150fx_hybrid,blend158_logit,5.284646346581656e-05,-7.00000000000145e-05,3.611115905085449e-05,0.066,hybrid,logit,False,-0.00012284646346583106,3.6341195283903045e-05,-3.380363868225452
blend150fx_hybrid,blend158_rankraw,-2.218358646144392e-05,-4.999999999999449e-05,2.529081432891929e-05,0.178,hybrid,rankraw,False,-2.7816413538550574e-05,2.561819580076895e-05,-1.0858068911205543
blend150fx_hybrid,blend158_rescale,-1.313667328917134e-05,-5.999999999994898e-05,2.5433723580187567e-05,0.286,hybrid,rescale,False,-4.686332671077764e-05,2.5759288845386545e-05,-1.8192787460889395
blend150fx_hybrid,blend159,-2.914158645039855e-05,-7.00000000000145e-05,1.9909523272892612e-05,0.052,hybrid,ens4,False,-4.0858413549615946e-05,2.0323773852818754e-05,-2.0103753291837183
blend150fx_hybrid,blend159_h3,-3.270017336887143e-05,-5.999999999994898e-05,1.7873854902098392e-05,0.026,hybrid,h3,False,-2.729982663107755e-05,1.8334158167964336e-05,-1.4890144603846125
blend150fx_hybrid,blend159av,-3.064037710520662e-05,-7.00000000000145e-05,1.975143554115232e-05,0.046,hybrid,ens4,False,-3.935962289480788e-05,2.0168933353129055e-05,-1.951497493976375
blend150fx_hybrid,blend159av_h3,-3.493578244517792e-05,-5.999999999994898e-05,1.7486439387790514e-05,0.028,hybrid,h3,False,-2.5064217554771062e-05,1.795667644998757e-05,-1.395816070116272
blend150fx_hybrid,blend159av_w,-3.3942092710237404e-05,-5.999999999994898e-05,1.8397168664308323e-05,0.032,hybrid,w,False,-2.605790728971158e-05,1.88446937234245e-05,-1.3827715999077685
blend150fx_hybrid,blend159av_wh3,-3.502058585469481e-05,-5.999999999994898e-05,1.8145970713165966e-05,0.026,hybrid,wh3,False,-2.4979414145254175e-05,1.8599540848895803e-05,-1.3430124081120598
blend150fx_hybrid,blend160orig,-2.8071278316721404e-05,-7.00000000000145e-05,1.9924350787758546e-05,0.06,hybrid,ens4,False,-4.192872168329309e-05,2.033829936303233e-05,-2.061564781542371
blend150fx_hybrid,blend160orig_h3,-3.209478703847246e-05,-5.999999999994898e-05,1.7861887902787597e-05,0.03,hybrid,h3,False,-2.7905212961476522e-05,1.8322491809751658e-05,-1.5230031619730193
blend150fx_hybrid,blend160origm,-3.0008106592038782e-05,-7.00000000000145e-05,1.997934151423463e-05,0.044,hybrid,ens4,False,-3.999189340797571e-05,2.0392173842165185e-05,-1.9611392938051513
blend150fx_hybrid,blend160origm_h3,-3.4418645043388096e-05,-5.999999999994898e-05,1.79919561812037e-05,0.026,hybrid,h3,False,-2.5581354956560887e-05,1.8449313100845265e-05,-1.3865749264881229
blend150fx_hybrid,blendtop3,-3.5224069382611134e-05,-5.999999999994898e-05,1.744141642246337e-05,0.022,hybrid,h3,False,-2.477593061733785e-05,1.7912835439662858e-05,-1.383138403788304
blend150fx_hybrid,stack_pub149_hybrid,-4.073780824342954e-06,0.0,1.031807539642756e-05,0.336,hybrid,hybrid,True,4.073780824342954e-06,1.1096366367105514e-05,0.367127462231188
blend150fx_hybrid,stack_pub151_fixed_rankraw,-1.0265586677382643e-05,-3.999999999992898e-05,2.37312694477818e-05,0.32,hybrid,rankraw,False,-2.9734413322546338e-05,2.4079863294252492e-05,-1.2348248392939798
blend150fx_hybrid,stack_pub151_hybrid,-1.0058216157404765e-05,0.0,7.772398088765922e-06,0.084,hybrid,hybrid,True,1.0058216157404765e-05,8.77934158789364e-06,1.1456686195323167
blend150fx_hybrid,stack_pub151_rankraw,-8.829500410478808e-06,-2.999999999997449e-05,2.2485921803833483e-05,0.348,hybrid,rankraw,False,-2.1170499589495684e-05,2.2853519335865554e-05,-0.9263562114160424
